Date,Average,1 bed / 1 ba,2 bed / 2 ba
1999 Q1,"1,208","1,098","1,453"
1999 Q2,"1,215","1,101","1,464"
1999 Q3,"1,242","1,135","1,487"
1999 Q4,"1,264","1,153","1,514"
2000 Q1,"1,298","1,180","1,556"
2000 Q2,"1,588","1,450","1,895"
2000 Q3,"1,760","1,628","2,091"
2000 Q4,"1,806","1,679","2,115"
2001 Q1,"1,833","1,704","2,133"
2001 Q2,"1,776","1,651","2,048"
2001 Q3,"1,645","1,515","1,883"
2001 Q4,"1,437","1,311","1,685"
2002 Q1,"1,367","1,247","1,601"
2002 Q2,"1,364","1,243","1,578"
2002 Q3,"1,347","1,225","1,574"
2002 Q4,"1,298","1,179","1,517"
2003 Q1,"1,288","1,156","1,506"
2003 Q2,"1,252","1,126","1,461"
2003 Q3,"1,260","1,135","1,465"
2003 Q4,"1,247","1,112","1,451"
2004 Q1,"1,240","1,097","1,461"
2004 Q2,"1,232","1,082","1,450"
2004 Q3,"1,239","1,094","1,447"
2004 Q4,"1,236","1,094","1,441"
2005 Q1,"1,235","1,097","1,430"
2005 Q2,"1,246","1,108","1,439"
2005 Q3,"1,262","1,117","1,476"
2005 Q4,"1,269","1,116","1,480"
2006 Q1,"1,292","1,143","1,506"
2006 Q2,"1,328","1,173","1,538"
2006 Q3,"1,365","1,204","1,581"
2006 Q4,"1,390","1,232","1,600"
2007 Q1,"1,429","1,282","1,627"
2007 Q2,"1,468","1,324","1,681"
2007 Q3,"1,518","1,359","1,749"
2007 Q4,"1,541","1,398","1,783"
2008 Q1,"1,568","1,416","1,819"
2008 Q2,"1,597","1,441","1,855"
2008 Q3,"1,618","1,465","1,872"
2008 Q4,"1,597","1,423","1,837"
2009 Q1,"1,545","1,384","1,776"
2009 Q2,"1,495","1,325","1,724"
2009 Q3,"1,478","1,307","1,702"
2009 Q4,"1,429","1,261","1,654"
2010 Q1,"1,451","1,284","1,688"
2010 Q2,"1,483","1,307","1,729"
2010 Q3,"1,497","1,331","1,738"
2010 Q4,"1,512","1,348","1,747"
2011 Q1,"1,566","1,398","1,811"
2011 Q2,"1,645","1,474","1,915"
2011 Q3,"1,683","1,497","1,962"
2011 Q4,"1,678","1,503","1,940"
2012 Q1,"1,735","1,558","2,004"
2012 Q2,"1,811","1,628","2,089"
2012 Q3,"1,845","1,667","2,124"
2012 Q4,"1,825","1,644","2,098"
2013 Q1,"1,873","1,682","2,155"
2013 Q2,"1,989","1,780","2,350"
2013 Q3,"2,015","1,804","2,330"
2013 Q4,"2,022","1,825","2,314"
2014 Q1,"2,066","1,868","2,361"
2014 Q2,"2,169","1,945","2,504"
2014 Q3,"2,230","2,026","2,553"
2014 Q4,"2,227","2,009","2,538"
2015 Q1,"2,227","2,058","2,601"
2015 Q2,"2,407","2,186","2,736"
2015 Q3,"2,486","2,257","2,813"
2015 Q4,"2,436","2,209","2,750"
2016 Q1,"2,473","2,244","2,792"
2016 Q2,"2,503","2,258","2,847"
